Word2;Wordtemperature;Relatedwords;Correctanswer
Fire;Non-neutral;;Y
Pumpkin;Non-neutral;;Y
Sun;Non-neutral;;Y
Sea;Non-neutral;;Y
Nature;Non-neutral;;Y
Lilac;Non-neutral;;Y
Clock;Neutral;;Y
Window;Neutral;;Y
Street;Neutral;;Y
Table;Neutral;;Y
Shoe;Neutral;;Y
Map;Neutral;;Y
Flame;Non-neutral;Yes;N
Time;Neutral;Yes;N
Carrot;Non-neutral;Yes;N
Balcony;Neutral;Yes;N
Star;Non-neutral;Yes;N
Alley;Neutral;Yes;N
Ocean;Non-neutral;Yes;N
Desk;Neutral;Yes;N
Environment;Non-neutral;Yes;N
Boot;Neutral;Yes;N
Violet;Non-neutral;Yes;N
Guide;Neutral;Yes;N
Book;Neutral;No;N
Cup;Neutral;No;N
Bridge;Neutral;No;N
Car ;Neutral;No;N
Plant;Non-neutral;No;N
Guitar;Neutral;No;N
Beach;Non-neutral;No;N
Cloud;Non-neutral;No;N
Phone;Neutral;No;N
Key;Neutral;No;N
Dog;Neutral;No;N
Light;Neutral;No;N
